ID,Nombre de la prueba,Tipo,Resultado esperado,Resultado obtenido,Módulo a probar,Resultado,Candidato a automatizar,Observación,Responsable de ejecución,Complejidad
"CP-NFN-001","Evaluar eficiencia del flujo de registro de inventario en tablet","No funcional – Usabilidad/Rendimiento","Completar el flujo de 'Movimiento de Stock' (Entrada/Salida/Ajuste) en <5s con viewport 768x1024; sin errores de UI","Pendiente de ejecución","Warehouse Dashboard","Pendiente","Sí (E2E Selenium en Edge, emulando tablet)","Medir tiempo desde abrir 'Movimiento de Stock' hasta mensaje de éxito; preparar dataset con productos visibles","QA E2E","Media"
"CP-NFN-002","Verificar legibilidad y tamaño de elementos en tablet","No funcional – Usabilidad/Responsividad","Font-size ≥14px; botones/tap-targets ≥48x48 px; sin overflow ni solapamiento","Pendiente de ejecución","Warehouse Dashboard y navegación","Pendiente","Sí (Selenium verificando tamaños y estilos computados)","Extraer computed styles y dimensiones; considerar variaciones por styled-components","QA UI","Media"
"CP-NFN-003","Prueba de Carga: 50 usuarios concurrentes (login + dashboard)","No funcional – Carga/Performance","p95 login <1s; p95 carga /warehouse-dashboard <2s","Pendiente de ejecución","Autenticación backend y ruta protegida","Pendiente","Sí (Locust para API + mediciones)","Requiere entorno de performance y datos; definir métricas y dashboards","QA Performance","Alta"
"CP-NFN-004","Prueba de estrés: registro de salidas de inventario","No funcional – Estrés","Identificar punto de ruptura sin inconsistencias de stock; degradación controlada","Pendiente de ejecución","Actualización de stock (PATCH) y flujo de 'Salida'","Pendiente","Sí (Locust sobre API de productos)","Gap: UI evita stock negativo pero no retorna error en 'out > stock'; sugerir validación en backend","QA Performance","Alta"
"CP-NFN-005","Prueba de Volumen: generación de reportes de stock","No funcional – Volumen","Generar reporte en <10s con BD de >10k productos","Pendiente de ejecución","Generación de reportes en dashboard","Pendiente","Sí (seed + E2E con medición)","Usar scripts de seed (populate_db_safe.py); revisar índices en BD","QA Performance","Alta"
"CP-NFN-006","Render y funcionalidad del módulo de inventario en Firefox/Edge","Compatibilidad","UI consistente y flujos clave operativos en ambos navegadores","Pendiente de ejecución","Warehouse Dashboard (y navegación general)","Pendiente","Sí (E2E parametrizando navegador)","Añadir soporte Firefox al conftest; requerirá geckodriver o webdriver_manager","QA Cross-browser","Media"
"CP-NFN-007","Compatibilidad Safari en iPad","Compatibilidad","UI y flujos correctos en Safari iOS (iPad)","Pendiente de ejecución","Aplicación web general","Pendiente","Sí vía BrowserStack/SauceLabs; emulación local valida responsividad","Requiere servicio externo; definir dispositivos y versiones","QA Cross-browser","Alta"
"CP-NFN-008","Operador de campo no puede generar reportes","Seguridad/Acceso","No ver pestaña '📋 Reportes' ni botón 'Generar Nuevo Reporte'; acceso restringido por rol","Pendiente de ejecución","Navbar/App (protección de rutas) y Warehouse Dashboard","Pendiente","Sí (E2E)","Crear usuario no staff; verificar ausencia de elementos de reportes","QA E2E","Baja"
"CP-NFN-009","Usuario no autenticado es redirigido a login","Seguridad/Acceso","Redirección a login al acceder a rutas protegidas (ej. /warehouse-dashboard)","Parcialmente cubierto; ampliar cobertura","Rutas protegidas en frontend","Pendiente","Sí (E2E)","Reusar test existente ampliando a más rutas","QA E2E","Baja"
"CP-NFN-010","Consistencia de datos de inventario tras operaciones concurrentes","Concurrencia/Integridad","Stock final consistente tras mezcla de 'in' y 'out'; sin condiciones de carrera visibles","Pendiente de ejecución","API de productos (stock)","Pendiente","Sí (Locust/API)","Puede requerir transacciones/locks en backend; diseñar verificación final","QA Performance","Alta"
"CP-FUNC-001","Agrónomo puede crear una solicitud de compra (Flujo Normal)","Funcional","Solicitud/orden creada correctamente; estado inicial esperado","Pendiente de ejecución","Carrito/Órdenes (backend y/o frontend)","Pendiente","Sí (API/E2E)","Mapear endpoints en backend/api/urls.py y vistas asociadas","QA Funcional","Media"
"CP-FUNC-002","Rechazo por cantidad inválida en solicitud de compra (Flujo Alternativo)","Validación","Respuesta 400 al intentar agregar cantidad ≤0","Pendiente de ejecución","Backend (add_item en productos/orden)","Pendiente","Sí (API test)","Confirmar validación implementada en backend","QA Funcional","Baja"
"CP-FUNC-003","Operador de campo registra verificación de un inventario","Funcional","Ajuste de stock aplicado y movimiento registrado","Pendiente de ejecución","Warehouse Dashboard (modal '📈 Registrar Movimiento de Stock')","Pendiente","Sí (E2E)","Seleccionar 'Ajuste', razón 'Verificación'; validar mensaje de éxito y stock actualizado","QA E2E","Baja"
"CP-FUNC-004","Controlador de inventario registra salida por aplicación en cultivo","Funcional","Stock decrementado y movimiento visible en historial","Pendiente de ejecución","Warehouse Dashboard","Pendiente","Sí (E2E)","Seleccionar 'Salida', razón 'Aplicación en cultivo'; verificar stock y movimiento en lista","QA E2E","Baja"
"CP-FUNC-005","El sistema impide registrar una salida mayor al stock disponible","Validación","Operación rechazada con error (400)","Gap actual (UI clampa a ≥0, no error)","Backend de productos (validación de stock)","Pendiente/Blocked","Sí, inicialmente con xfail/skip","Requiere agregar validación en backend","QA Funcional + Dev","Media"
"CP-FUNC-006","Jefe de bodega genera reporte de niveles de abastecimiento","Funcional","Reporte creado y visible en listado, con métricas (stock bajo, sin stock, total)","Pendiente de ejecución","Warehouse Dashboard (sección '📋 Reportes de Inventario')","Pendiente","Sí (E2E)","Verificar que el nuevo reporte aparece en la tabla tras 'Generar Nuevo Reporte'","QA E2E","Baja"
"CP-FUNC-007","Exportación del reporte de stock a formato CSV","Funcional","Descarga de CSV con datos correctos","No implementado (gap)","Reports/export","No aplica","No por ahora","Requiere desarrollo de feature/endpoints de exportación","QA Funcional + Dev","Media"
"CP-FUNC-008","Alarma de recambio de trampa de cebo","Funcional","Alarma generada conforme reglas definidas","No implementado (gap)","Alarms/Monitoreo","No aplica","No por ahora","Necesita diseño funcional y endpoints","QA Funcional + Dev","Alta"
"CP-FUNC-009","Visualización de datos del tiempo desde servicio externo","Integración","Datos correctos mostrados y actualizados","No implementado (gap)","Integración clima (frontend/backend)","No aplica","No por ahora","Verificar si existen endpoints; no se han identificado en el repo actual","QA Funcional + Dev","Media/Alta"
"CP-FUNC-010","Un operario puede enviar un comentario vía casilla de sugerencias","Funcional","Comentario enviado, persistido y visible en panel correspondiente","No implementado (gap)","Feedback/Sugerencias","No aplica","No por ahora","No se observa módulo de sugerencias en el frontend/backend actual","QA Funcional + Dev","Baja/Media"